NodeID,PageRank,Hub,KatzCentrality,DegreeCentrality
cmd8,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
FTKImager.exe,0.020911253905032966,0.0,0.1475891069950287,0.022222222222222223
cmd4,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
dwm.exe,0.02010895325968535,0.0,0.14773536647042917,0.022222222222222223
cmd7,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
System,0.027769107157345006,4.18283268242117e-24,0.1462594754004789,0.044444444444444446
cmd2,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
cmd3,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
xampp-control.e,0.020911253905032966,6.850766456323307e-14,0.1475891069950287,0.08888888888888889
spoolsv.exe,0.017995266180985865,0.0,0.14772207015448366,0.022222222222222223
wininit.exe,0.021389642333344075,4.861545249686378e-15,0.1462594754004789,0.08888888888888889
VBoxService.exe,0.017995266180985865,0.0,0.14772207015448366,0.022222222222222223
winlogon.exe,0.021389642333344075,0.0,0.1462594754004789,0.022222222222222223
cmd9,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
TrustedInstalle,0.017995266180985865,0.0,0.14772207015448366,0.022222222222222223
cmd18,0.01639866607303487,0.0,0.14772207015448366,0.022222222222222223
FileZillaServer,0.020935173921707878,0.0,0.15955579134597694,0.4222222222222222
csrss.exe,0.027769107157345006,0.0,0.1462594754004789,0.11111111111111112
explorer.exe,0.027769107157345006,0.9999999974498841,0.14772207015448366,0.022222222222222223
msdtc.exe,0.017995266180985865,1.1497682928408882e-12,0.1329631594549808,0.022222222222222223
0,0.015010177509343145,0.0,0.1475891069950287,0.022222222222222223
smss.exe,0.03861448309210243,4.18283268242117e-24,0.14891873858957852,0.022222222222222223
cmd5,0.01639866607303487,0.0,0.14773536647042917,0.022222222222222223
lsm.exe,0.021070716714470004,0.0,0.1475891069950287,0.022222222222222223
VBoxTray.exe,0.020911253905032966,0.0,0.1475891069950287,0.022222222222222223
cmd.exe,0.020911253905032966,0.0,0.1475891069950287,0.022222222222222223
676,0.015010177509343145,4.18283268242117e-24,0.1475891069950287,0.15555555555555556
cmd1,0.01639866607303487,0.0,0.1329631594549808,0.022222222222222223
mysqld.exe,0.020935173921707878,0.0,0.14891873858957852,0.022222222222222223
cmd12,0.01639866607303487,0.0,0.14772207015448366,0.022222222222222223
httpd.exe,0.13945490701828012,2.837680378859791e-14,0.1641350425576065,0.06666666666666667
SLsvc.exe,0.017995266180985865,0.0,0.14772207015448366,0.022222222222222223
lsass.exe,0.021070716714470004,0.0,0.1475891069950287,0.022222222222222223
services.exe,0.021070716714470004,2.5488498358675703e-09,0.14891873858957852,0.022222222222222223
cmd16,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
cmd17,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
cmd14,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
cmd15,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
wuauclt.exe,0.02010895325968535,0.0,0.14891873858957852,0.022222222222222223
cmd13,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
cmd10,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
cmd11,0.01639866607303487,0.0,0.14891873858957852,0.022222222222222223
472,0.015010177509343145,4.861545249686378e-15,0.1329631594549808,0.044444444444444446
svchost.exe,0.017995266180985865,4.861545249686378e-15,0.14772207015448366,0.08888888888888889
taskeng.exe,0.02010895325968535,0.0,0.14773536647042917,0.022222222222222223
516,0.015010177509343145,4.861545249686378e-15,0.1329631594549808,0.044444444444444446
