,PageRank,Hub,KatzCentrality,DegreeCentrality
count,16.0,16.0,16.0,16.0
mean,0.0625,0.0625,0.249863001606,0.116666666667
std,0.0152776848254,0.170782511216,0.00854668298661,0.0750308578495
min,0.0360721264881,0.0,0.228072902269,0.0666666666667
25%,0.0549799184159,0.0,0.252590739263,0.0666666666667
50%,0.0610595568249,2.82073500503e-23,0.25327495797,0.0666666666667
75%,0.0699998941787,9.92457899809e-10,0.253412371893,0.15
max,0.0927955022714,0.49999999603,0.253414310513,0.266666666667
