NodeID,PageRank,Hub,KatzCentrality,DegreeCentrality
lsass.exe,0.0681632774815327,0.0,0.25341180171124394,0.06666666666666667
services.exe,0.0681632774815327,0.4999999960301685,0.25341180171124394,0.26666666666666666
reader_sl.exe,0.05497991841585249,0.0,0.2531609215187479,0.06666666666666667
wuauclt.exe,0.0831504974442179,0.0,0.25341431051316887,0.06666666666666667
System,0.0667333923924102,0.0,0.25338899442101703,0.06666666666666667
csrss.exe,0.07550974427020266,5.641470010057694e-23,0.2508801924960565,0.13333333333333333
0,0.036072126488080086,5.641470010057694e-23,0.22807290226914223,0.06666666666666667
spoolsv.exe,0.05538572125745868,0.0,0.25341408244026664,0.06666666666666667
smss.exe,0.0927955022713973,3.9698315992371346e-09,0.2531609215187479,0.2
svchost.exe,0.05538572125745868,5.641470010057694e-23,0.25341408244026664,0.13333333333333333
alg.exe,0.05538572125745868,0.0,0.25341408244026664,0.06666666666666667
41.168.5.140,0.05497991841585249,0.0,0.2531609215187479,0.06666666666666667
1464,0.036072126488080086,5.641470010057694e-23,0.22807290226914223,0.06666666666666667
explorer.exe,0.0667333923924102,0.4999999960301685,0.2508801924960565,0.26666666666666666
125.19.103.198,0.05497991841585249,0.0,0.2531609215187479,0.06666666666666667
winlogon.exe,0.07550974427020266,3.9698315992371346e-09,0.25338899442101703,0.2
