,PageRank,Hub,KatzCentrality,DegreeCentrality
count,46.0,46.0,46.0,46.0
mean,0.021739130434782608,0.021739130434782608,0.1473455531729488,0.042512077294685986
std,0.018266252160717204,0.1474419557705476,0.005389797290057472,0.06386303708107363
min,0.015010177509343144,0.0,0.1329631594549808,0.022222222222222227
25%,0.01639866607303487,0.0,0.1475891069950287,0.022222222222222227
50%,0.01799526618098586,0.0,0.14772207015448366,0.022222222222222227
75%,0.020929193917539154,3.137124511815877e-24,0.14891873858957852,0.022222222222222227
max,0.13945490701828012,0.999999997449884,0.1641350425576065,0.4222222222222222
