,PageRank,Hub,KatzCentrality,DegreeCentrality
count,42.0,42.0,42.0,42.0
mean,0.0238095238095,0.0238095238095,0.15387682831,0.0534262485482
std,0.00668452292553,0.080805767448,0.0116039436005,0.0626453349151
min,0.01825998628,0.0,0.137220197779,0.0243902439024
25%,0.019970838425,0.0,0.151285268052,0.0243902439024
50%,0.0209086444311,0.0,0.152383029634,0.0243902439024
75%,0.0260205965875,2.70250513376e-76,0.154160936849,0.0487804878049
max,0.0506735009683,0.472736092579,0.2100841228,0.292682926829
