name,authority,closenesscentrality,hubs,indegcentrality,outdegcentrality,pagerank
0.0.0.0:0,0.13477839709916567,0.0,0.0,0.12195121951219512,0.0,0.050673500968313606
127.0.0.1:49162,0.0000000031823812841479487,0.0,0.0,0.024390243902439025,0.0,0.020908644431126097
*:*,0.044252147663430365,0.0,0.0,0.07317073170731708,0.0,0.04323843161137008
::::0,0.04196446240973512,0.0,0.0,0.04878048780487805,0.0,0.02496953502326052
127.0.0.1:49163,0.0000000031823812841479487,0.0,0.0,0.024390243902439025,0.0,0.020908644431126097
2607:f8b0:4009:809::200e:80,0.0000000031823812841479487,0.0,0.0,0.024390243902439025,0.0,0.020908644431126097
192.168.1.115:4455,0.0000000000,0.0,0.0,0.024390243902439025,0.0,0.0303776843102749
127.0.0.1:49159,0.0000000031823812841479487,0.0,0.0,0.024390243902439025,0.0,0.020908644431126097
127.0.0.1:49160,0.0000000031823812841479487,0.0,0.0,0.024390243902439025,0.0,0.020908644431126097
162.125.18.133:443,0.0000000031823812841479487,0.0,0.0,0.024390243902439025,0.0,0.020908644431126097
54.201.188.11:443,0.0000000031823812841479487,0.0,0.0,0.024390243902439025,0.0,0.020908644431126097
23.209.190.81:90,0.0000000031823812841479487,0.0,0.0,0.024390243902439025,0.0,0.020908644431126097
192.168.1.255:80,0.0000000031823812841479487,0.0,0.0,0.024390243902439025,0.0,0.020908644431126097
System,0.0,0.07317073170731707,0.11692673421733943,0.0,0.07317073170731708,0.01825998628002853
smss.exe,0.016188266901910137,0.0,0.0,0.024390243902439025,0.0,0.023433726485036145
csrss.exe,0.0000000000,0.0,0.0,0.024390243902439025,0.0,0.026020596587539954,
wininit.exe,0.0,0.21951219512195122,0.12690786219712466,0.0,0.0975609756097561,0.01825998628002853
services.exe,0.017570133630681956,0.25757169659608686,0.47273609257925053,0.024390243902439025,0.2682926829268293,0.022140291433784244
lsass.exe,0.017570133630681956,0.024390243902439025,0.0807258157217768,0.024390243902439025,0.024390243902439025,0.022140291433784244
svchost.exe,0.06544934391662975,0.17632946821271492,0.0,0.024390243902439025,0.14634146341463417,0.01997083842503232
VBoxService.ex,0.06544934391662975,0.024390243902439025,0.02650492062865651,0.024390243902439025,0.024390243902439025,0.01997083842503232
audiodg.exe,0.024394328779053173,0.0,0.0,0.024390243902439025,0.0,0.021089229869504806
spoolsv.exe,0.06544934391662975,0.0,0.0,0.024390243902439025,0.0,0.01997083842503232
taskhost.exe,0.06544934391662975,0.0,0.0,0.024390243902439025,0.0,0.01997083842503232
vmicsvc.exe,0.06544934391662975,0.0,0.0,0.024390243902439025,0.0,0.01997083842503232
armsvc.exe,0.06544934391662975,0.0,0.0,0.024390243902439025,0.0,0.01997083842503232
wlms.exe,0.06544934391662975,0.0,0.0,0.024390243902439025,0.0,0.01997083842503232
sppsvc.exe,0.06544934391662975,0.0,0.0,0.024390243902439025,0.0,0.01997083842503232
dwm.exe,0.024394328779053173,0.0,0.0,0.024390243902439025,0.0,0.021089229869504806
explorer.exe,0.0000000000,0.19121951219512198,0.000000002706967996230067,0.024390243902439025,0.07317073170731708,0.03618593031944757
VBoxTray.exe,0.0000000004457082345755377,0.0,0.0,0.024390243902439025,0.0,0.02851268691470319
SearchIndexer.,0.06544934391662975,0.0,0.0,0.024390243902439025,0.0,0.01997083842503232
firefox.exe,0.0000000036280895187234866,0.21951219512195122,0.00000001932790022646542,0.04878048780487805,0.24390243902439024,0.031161345065800754
AcroRd32.exe,0.0000000004457082345755377,0.04878048780487805,0.0000000000,0.024390243902439025,0.04878048780487805,0.02851268691470319
mscorsvw.exe,0.06544934391662975,0.0,0.0,0.024390243902439025,0.0,0.01997083842503232
notepad.exe,0.0000000000,0.0,0.0,0.024390243902439025,0.0,0.0303776843102749
WmiPrvSE.exe,0.024394328779053173,0.13719512195121952,0.0000000000,0.024390243902439025,0.024390243902439025,0.021089229869504806
396,0.0000000000,0.0,0.0,0.024390243902439025,0.0,0.026020596587539954
356,0.0000000000,0.0,0.0,0.024390243902439025,0.0,0.026020596587539954
343,0.0000000000,0.0,0.0,0.024390243902439025,0.0,0.026020596587539954
340,0.0,0.04878048780487805,0.0000000000,0.0,0.04878048780487805,0.01825998628002853
304,0.0,0.04878048780487805,0.0000000000,0.0,0.04878048780487805,0.01825998628002853
