NodeID,PageRank,Hub,KatzCentrality,DegreeCentrality
dwm.exe,0.021089229869504806,0.0,0.1523144195350627,0.024390243902439025
System,0.01825998628002853,0.11692673421733943,0.1523144195350627,0.07317073170731708
spoolsv.exe,0.01997083842503232,0.0,0.15246673395459776,0.024390243902439025
396,0.026020596587539954,0.0,0.15416093684850007,0.024390243902439025
54.201.188.11:443,0.020908644431126097,0.0,0.15416093684850007,0.024390243902439025
lsass.exe,0.022140291433784244,0.0807258157217768,0.152451639732842,0.04878048780487805
192.168.1.115:4455,0.0303776843102749,0.0,0.15416093684850007,0.024390243902439025
vmicsvc.exe,0.01997083842503232,0.0,0.1523144195350627,0.024390243902439025
127.0.0.1:49162,0.020908644431126097,0.0,0.13722019777933575,0.024390243902439025
127.0.0.1:49163,0.020908644431126097,0.0,0.13722019777933575,0.024390243902439025
:::0,0.02496953502326052,0.0,0.15246687117479552,0.04878048780487805
wlms.exe,0.01997083842503232,0.0,0.1523144195350627,0.024390243902439025
csrss.exe,0.026020596587539954,0.0,0.152451639732842,0.024390243902439025
AcroRd32.exe,0.02851268691470319,3.603340178343054e-76,0.21008412280016306,0.07317073170731708
explorer.exe,0.03618593031944757,2.706967996230067e-09,0.15416093684850007,0.0975609756097561
services.exe,0.022140291433784244,0.47273609257925053,0.1523144195350627,0.29268292682926833
2607:f8b0:4009:809::200e:80,0.020908644431126097,0.0,0.15094221755726933,0.024390243902439025
smss.exe,0.023433726485036145,0.0,0.15416093684850007,0.024390243902439025
VBoxService.ex,0.01997083842503232,0.02650492062865651,0.15416093684850007,0.04878048780487805
firefox.exe,0.031161345065800754,1.932790022646542e-08,0.18140510146428188,0.29268292682926833
23.209.190.81:80,0.020908644431126097,0.0,0.15416093684850007,0.024390243902439025
audiodg.exe,0.021089229869504806,0.0,0.1523144195350627,0.024390243902439025
340,0.01825998628002853,3.603340178343054e-76,0.15416093684850007,0.04878048780487805
WmiPrvSE.exe,0.021089229869504806,4.54805471185111e-105,0.15094221755726933,0.04878048780487805
VBoxTray.exe,0.02851268691470319,0.0,0.16617365951077562,0.024390243902439025
162.125.18.133:443,0.020908644431126097,0.0,0.1523144195350627,0.024390243902439025
192.168.1.255:80,0.020908644431126097,0.0,0.15094221755726933,0.024390243902439025
taskhost.exe,0.01997083842503232,0.0,0.15246673395459776,0.024390243902439025
304,0.01825998628002853,3.603340178343054e-76,0.15246536175261996,0.04878048780487805
notepad.exe,0.0303776843102749,0.0,0.15094221755726933,0.024390243902439025
SearchIndexer.,0.01997083842503232,0.0,0.15416093684850007,0.024390243902439025
mscorsvw.exe,0.01997083842503232,0.0,0.15094221755726933,0.024390243902439025
sppsvc.exe,0.01997083842503232,0.0,0.15094221755726933,0.024390243902439025
0.0.0.0:0,0.050673500968313606,0.0,0.1523144195350627,0.12195121951219512
127.0.0.1:49160,0.020908644431126097,0.0,0.16940747302376208,0.024390243902439025
127.0.0.1:49159,0.020908644431126097,0.0,0.15094221755726933,0.024390243902439025
*:*,0.04323843161137008,0.0,0.152451639732842,0.07317073170731708
356,0.026020596587539954,0.0,0.13722019777933575,0.024390243902439025
svchost.exe,0.01997083842503232,0.17619855262098383,0.1523144195350627,0.17073170731707318
343,0.026020596587539954,0.0,0.15246687117479552,0.024390243902439025
armsvc.exe,0.01997083842503232,0.0,0.1523144195350627,0.024390243902439025
wininit.exe,0.01825998628002853,0.12690786219712466,0.13722019777933575,0.0975609756097561
